id	area	final_requirement	urgency	legacy_stage	current_implementation	current_evidence	owner_role	prerequisite_ids	next_action	closure_criterion	adversarial_test	source_refs	gate_result	tested_sha	evidence_uri	reviewer	closure
T01	수분·열역학	수분 분석증분과 물리 수송 ledger 분리	P0	P3/P5	부분구현	소스검토	미배정 — 수분 ledger·budget 책임	M05,O03	pressure-level A_Q를 finite-time transport·phase conversion과 분리하고 synthetic column ledger를 먼저 실행	실제 관측 분석 A_Q·내부 상변화·선택한 수송 모형의 장부를 분리하고 출처·종·부호·경계 budget 폐합; kg/s interface throughput을 kg global source-to-sink mass로 부르지 않음; 합성 ledger만으로 완료하지 않음	uniform flux 다층 통과, single-source budget, missing qv와 boundary sink 혼동	[R08]	NOT_RUN				OPEN
T02	수분·열역학	범위별 source-to-sink 종별 보존 수송	P1	P3/P5	부분구현	소스검토	미배정 — 보존 수송 책임	T01,O07,O08	사전 승인한 실행 범위(분석 재구성·실제 시간수송·기존 수상체 기반 연직풍 복원) 중 하나를 선택하고 범위별 장부·주장·필수 검사를 고정; 선택하지 않은 범위는 미실행으로 보존	선택한 범위의 요구 장부를 충족한다. 실제 시간수송이면 source 제거·sink 추가·지표/경계 유출입·positivity를 폐합하고, 분석 재구성이면 분석 증분 장부를, 기존 수상체 기반 복원이면 질량기준·낙하속도·불확실도 변경을 기록한다; 범위 선택만으로 DONE/N 또는 폐합으로 자동 변경하지 않음	순회순서/permutation·tilted shaft·surface sink·split step·CFL·범위 미승인/범위 외 자동완료	[R03]	NOT_RUN				OPEN
T03	수분·열역학	증발·승화·융해와 T/qv 동시 조정	P0	P5	부분구현	소스검토	미배정 — 열역학·상변화 책임	T01,M05	종별 Δm/Δh와 적용할 enthalpy convention을 고정하고 기존 bounded cell/column 조정을 등압면 후보 경로에 연결; 독립 시험과 실제 연결 증거 분리	실제 후보 경로의 내부 phase change가 total water·선택한 enthalpy를 보존하고 positivity·실패 시 전체 rollback을 검증; T01/M05 선행 최종 조건도 충족하며 standalone 시험만으로 완료하지 않음	evap/sublimation/melting/freezing, 건조·포화 극한, enthalpy mismatch와 iteration-cap rollback	[R03]	NOT_RUN				OPEN
T04	수분·열역학	loading·잠열·압력섭동의 일관된 부력	P1	P5	부분구현	소스검토	미배정 — 부력·압력섭동 책임	T03,O05	native 물·얼음 포화 기준, 혼합상 및 과냉각 액체수 정책을 host 미세물리와 고정하고 loading 후보는 prior/tendency로 제한하여 pressure-gradient·entrainment·area를 함께 평가	dBZ→고정 하강 w 금지; 수치적 overshoot·중복 상변화·비현실적 냉각을 억제하되 native 물/얼음·혼합상·과냉각 액체수의 물리적 허용 상태를 일괄 제거하지 않음; 관측 오차 내 응답	같은 dBZ의 dry/moist subcloud·updraft·stratiform·cold-pool 사례; 물/얼음 혼합상·과냉각 액체수·포화기준 경계 사례	[R11]	NOT_RUN				OPEN
T05	수분·열역학	state-dependent geometry·thermo outer coupling	P0	P5/P6	설계·계약	소스검토	미배정 — coupled outer-loop 책임	M05,T03,B01	등압면 수분·온도→density/EOS·geometry·metric→balance→전체 재검증의 bounded outer iteration 구현; surrogate 시험은 초기 검증으로만 사용	실제 결합 후보의 nonlinear fixed-point/전체 제약잔차와 변화량이 사전 기준에 수렴; cap 도달은 거부; 단순 순차 transaction·surrogate 수렴만으로 최종 폐합하지 않음	강한 moisture increment, damping sensitivity, stale metric, 후속 block의 선행 budget 훼손	[R09]	NOT_RUN				OPEN
B01	국지 balance	등압면 연산자와 모델면 변환 후 정합성	P0	P5/P6	부분구현	소스검토	미배정 — balance operator·native handoff 책임	M03,M06,M07	pressure-grid face DOF·metric의 solve/update 동일 C/G/L을 고정하고, WPS→real 뒤에는 native 좌표의 operator/residual을 재계산; 두 좌표계에 같은 matrix를 가정하지 않음	pressure-grid solve/update와 그 residual은 동일 operator로 폐합하고 transformed native state는 native C/G/L 재계산 후 폐합; 좌표계 간 동일 matrix는 요구하지 않음	등압면 adjoint dot·symmetry/energy·support boundary·terrain partial faces; pressure→native 변환 후 metric/sign/unit·stale copied matrix 검출	[R03]	NOT_RUN				OPEN
B02	국지 balance	A-grid parity·target sign 왜곡 폐합	P0	P5	부분구현	과거기록	미배정 — 수치 balance 검증 책임	B01	6/16 adverse response fixture 고정; target 위치/허용치를 성과에 맞춰 바꾸지 않음	manufactured smooth target의 설계오차 감소와 mesh-convergence; nullspace/gauge 명시	single/multi column, 위치 1cell 이동, checkerboard, mesh refinement	[R05]	NOT_RUN				OPEN
B03	국지 balance	국지 support·질량 compatibility·배경 보존	P0	P5	부분구현	소스검토	미배정 — localization·compatibility 책임	B01	local zero-normal에서 admissible target/δdotm 조건 계산	support 밖 increment0; target 없는 component no-op; incompatible RHS는 거부	분리 component, uniform wind, nonzero background residual, infeasible forcing	[R09]	NOT_RUN				OPEN
B04	국지 balance	PCG preconditioner·conditioning·성능	P1	P5	부분구현	과거기록	미배정 — solver 성능 책임	B02,B03	gauge 처리 후 Jacobi/vertical-line 등 단순 preconditioner 비교	잔차·정확도 유지하며 iteration/memory/wall p95 예산 충족	thin cells, anisotropy, sparse/dense support, bad conditioning	[R03]	NOT_RUN				OPEN
B05	국지 balance	수상체·바람 증분·vorticity·큰규모 gate	P0	P5/P7	부분구현	소스검토	미배정 — 다변량 gate 책임	T05,B03	changed-region·shell·large-scale residual과 uncertainty-normalized 변화율 추가	대류의 비지균성을 제거하지 않으면서 불필요한 종관/회전 증분 통제	회전배경, frontogenesis, calm wind, compact forcing boundary	[R11]	NOT_RUN				OPEN
B06	국지 balance	독립 verifier와 다격자 수렴	P0	P4/P5	부분구현	소스검토	미배정 — 독립 검증자 책임	B01,T03	pressure-level field·mass·enthalpy·metric 계약을 입력으로 별도 sparse-matrix reference와 column oracle을 구성하고 scoped mutation/multigrid test를 실행	공유 wrong helper 재사용 없이 원천 입력→최종 state/ledger/operator를 독립 재계산하고 다격자·제조해·native round-trip 검증; 초기 등압면 oracle만으로 B01/T03 포함 최종 폐합을 대체하지 않음	metric/sign/unit/denominator/enthalpy mutation, stale WPS→native operator, manufactured·round-trip convergence	[R03]	NOT_RUN				OPEN
E01	공학·통합	원래 QBAL 직접 upstream 입력 재생성	P0	P6	부분구현	과거기록	미배정 — upstream 재생성 책임	G02,M01	LT1/LQ3/LCO/LSX를 원래 producer로 isolated tree에서 생성	완료순서·nonzero exit·cycle/valid time·freshness·coverage 모두 증거화	VRT race, missing producer, stale COM, equal valid-time 다른 cycle	[R03]	NOT_RUN				OPEN
E02	공학·통합	전체 KLAPS pinned ifx/NetCDF/HDF5 ABI	P0	P6	부분구현	과거기록	미배정 — ifx·ABI 통합 책임	E01	전체 source/dependency pin·out-of-source clean link·binary/source receipt	derived→QBAL→LAPSPREP의 실제 binary가 canonical symbols와 ABI/runtime closure 보유	ldd-r/symbol audit·clean link·compiler hash·O0/O2	[R02]	NOT_RUN				OPEN
E03	공학·통합	thin full-state writer 및 native round-trip	P0	P3/P6	부분구현	소스검토	미배정 — full-state I/O 책임	M04,E02	초기에는 작은 OFF 읽기/쓰기에서 field/shape/metadata 확인; 등압면 결합 검증 뒤 full OFF 및 coupled candidate의 WPS→real 왕복 확대; 기존 LAPS 출력만으로 후보 전달을 대체하지 않음	canonical→WPS→metgrid/native의 수분·T·wind·geometry·mask·time·질량분모가 변환 계약과 사전 허용오차에 부합; OFF와 실제 coupled candidate 전체 왕복 필수; 작은 I/O 시험만으로 완료하지 않음	coupled candidate asymmetric impulse·level remap·wind rotation·species denominator와 OFF/oldLAPS-only 누락 경로	[R03]	NOT_RUN				OPEN
E04	공학·통합	legacy 광역 QBAL/bogus-w 호출 대체	P0	P6	부분구현	소스검토	미배정 — production call graph 책임	E03,T05,B06	격리 사본에서 단일 adapter와 legacy 재진입 차단 구현 준비; 실제 full-KLAPS 통합은 CP06-B 및 기존 RELEASE/NO-GO 선행조건 충족 후 검증	동일입력 read→coupled candidate→independent gate→publish 한 경로와 중복 balance/잠열 보정 부재; E03/T05/B06 및 기존 최종 통합 gate 모두 충족	legacy bypass/re-entry, partial·oldLAPS-only candidate, duplicated correction, missing verifier, symbol/runtime trace	[R03]	NOT_RUN				OPEN
E05	공학·통합	generation 원자성·Lustre capability	P0	P2	부분구현	과거기록	미배정 — publisher·filesystem 안전 책임	G03	시작 시 no-replace/CAS/fsync 기능 probe; 지원 backend만 게시	고유 generation 불변·검증byte=게시byte·current 전체전환; unsafe fallback 없음	unsupported rename, crash points, racing publisher, retained writer fd	[R02]	NOT_RUN				OPEN
E06	공학·통합	self-contained evidence와 writer 수명	P1	P2/P4	부분구현	소스검토	미배정 — provenance·evidence 책임	G02,E05	입력/build/실행/validator/그림 receipt 하나의 provenance DAG로 결속	producer 종료 후 읽기전용 snapshot 검증; source/config/deps/결과 재현	변경 file descriptor·path swap·unsigned local claim·stale input	[R04]	NOT_RUN				OPEN
E07	공학·통합	진단 patch와 full candidate 권한 분리	P0	P1/P3	구현확인	소스검토	미배정 — artifact 권한 책임	G04	현행 PATCH_RECEIPT/NOT_READY 경계를 회귀시험으로 유지	patch는 DERIVED_DIAGNOSTIC_PATCH; source generation/full product로 자기증명 금지	full-role 위장, schema downgrade, missing validation, stale manifest	[R10]	NOT_RUN				OPEN
E08	공학·통합	동일 배경의 알고리즘 비교 및 Δ 분해	P0	P3/P6	부분구현	소스검토	미배정 — 비교 실험 책임	M04,E03	초기 등압면 비교는 동일 pre-QBAL x_b의 OFF/후보로 제한; 이후 같은 입력의 전체 baseline/candidate를 native 상태까지 전달해 비교	qC−qB와 qB−qO를 각 비교 좌표·질량기준에서 별도 기록하고 동일 배경의 full-native 비교까지 폐합; mass basis unresolved이면 NO-GO; 등압면 비교만으로 완료하지 않음	등압면 pass 뒤 native remap 잔차 악화, qB≠qO, zero-change, unapplied levels, mask/coordinate mismatch, false RMS improvement	[R10]	NOT_RUN				OPEN
V01	과학·운영 검증	독립 사건·regime·hold-out manifest	P1	P7	설계·계약	소스검토	미배정 — 과학 검증 설계 책임	G04,O06	연속 네 시각을 독립 네 사건으로 세지 않고 event-level split	calibration/검증/최종평가 분리; 관측 ID와 시간·공간 누수 차단	청천/안개/층상/강한대류/혼합상/산악/radar outage·held-out overlap	[R03]	NOT_RUN				OPEN
V02	과학·운영 검증	실제 수송 양성경로 및 ablation	P1	P5/P7	설계·계약	과거기록	미배정 — 수송 과학 검증 책임	T02,V01	deposition>0·tilted shaft를 실제 결측/부분 coverage 사례로 검증	기존 deposition0 사례는 분기 실행 검증으로 오인하지 않음; source lineage 확인	control, hydro-thermo-only, coupled, legacy paired experiments	[R03]	NOT_RUN				OPEN
V03	과학·운영 검증	0–6 h 강수·바람·구름·열역학 검증	P0	P7	구현미확인	소스검토	미배정 — paired forecast·과학 평가 책임	E04,B06,V01,V04	V04 초기 안전성 확인 후 같은 model/physics/forcing으로 paired forecast 수행	FSS/CSI/POD/FAR/bias·vector wind RMSE·T/qv·cloud base/top·budget noninferiority; V04 초기 충격·파동 gate 없이 전체 예보 성능을 폐합하지 않음	event-block bootstrap·regime worst-case·clear-sky false precipitation·V04 이전 실행 경로	[R03]	NOT_RUN				OPEN
V04	과학·운영 검증	초기 음파·중력파와 cold-pool 안전성	P0	P7	부분구현	소스검토	미배정 — 초기화 파동·cold-pool 검증 책임	E04,T03,B05	실제 E04 handoff 후보에서 첫 시간전진 전에 초기 고빈도 ps tendency/divergence를 진단하고 모델 timestep 수준 sampling을 별도 확인	분석잔차뿐 아니라 시간전진 고주파 excess가 대조군 허용범위 이내이며 정당한 대류·cold-pool을 유지; E04 handoff와 T03/B05 물리·다변량 조건을 확인하고 V03 전체 예보보다 먼저 폐합	첫 미세물리 호출과 초기 고빈도 구간의 10/30/60분 진단; 6 h 후속 평가는 V03에서 별도 수행; sampling aliasing·DFI/IAU 없음/있음 대조·handoff 누락·상변화 반복·과도한 vorticity/파동	[R05]	NOT_RUN				OPEN
V05	과학·운영 검증	정확도·운영 p95 예산·원클릭 rollback	P1	P6/P7/P8	설계·계약	소스검토	미배정 — 운영 SLO·rollback 책임	E05,V03,V04,G05	업무 cycle에서 latency/memory/rejection/freshness SLO와 shadow monitor 설정	장애 시 원본 사용·원인표시·publisher 재시도 동일성·rollback 검증	자료지연, IO 장애, memory pressure, dense support, consecutive cycles	[R03]	NOT_RUN				OPEN
V06	과학·운영 검증	필수 gate AND·독립 승격 승인	P0	P8	설계·계약	소스검토	미배정 — 승격 심사·독립 승인 책임	G05,E04,V03,V04,V05	공학/물리/통합/과학 gate를 모두 통과한 exact SHA만 별도 promotion 심사	평균점수로 critical FAIL/NOT_RUN 상쇄 금지; ACTIVE는 별도 설계·리뷰 후만	gate 하나 누락/과거 PASS/manufactured/partial patch 승격 거부	[R03]	NOT_RUN				OPEN
X01	별도 완료	시선속도/Barnes release 완료 범위 보존	별도	외부 완료	외부완료	외부완료보고	미배정 — 외부 release liaison		release와 Cloud-BAL 통합 책임을 분리하고 기존 산출물 receipt만 참조	별도 작업을 Cloud-BAL 미완료 항목으로 재분류하지 않음; 통합은 O06에만 집계	기존 release hash·thread/repeat regression receipt 확인	[R02]	NOT_APPLICABLE				EXTERNAL_COMPLETE
